Timestamp,X,Y,Z
1735574176304,-0.084,-0.191,-0.077
1735574176324,-0.154,-0.121,-0.301
1735574176360,-0.048,-0.053,-0.128
1735574176404,0.001,-0.038,-0.088
1735574176440,0.184,0.014,-0.169
1735574176463,0.336,0.092,-0.278
1735574176488,0.441,0.141,-0.217
1735574176520,0.596,0.246,-0.172
1735574176540,0.615,0.256,-0.110
1735574176560,0.644,0.234,-0.010
1735574176584,0.716,0.212,0.056
1735574176604,0.864,0.248,-0.016
1735574176639,0.924,0.413,-0.529
1735574176659,0.928,0.410,-0.655
1735574176679,0.947,0.350,-0.543
1735574176699,0.928,0.218,-0.289
1735574176719,0.952,0.195,-0.055
1735574176739,0.978,0.323,0.021
1735574176759,1.009,0.468,0.158
1735574176779,0.945,0.595,0.170
1735574176800,0.857,0.682,0.028
1735574176839,0.769,0.836,0.262
1735574176859,0.582,0.896,0.191
1735574176879,0.369,0.955,-0.246
1735574176899,0.241,0.970,-0.519
1735574176919,0.233,0.858,-0.485
1735574176939,0.357,0.705,-0.307
1735574176961,0.501,0.563,-0.111
1735574177000,0.756,0.382,-0.209
1735574177020,0.833,0.427,-0.425
1735574177060,1.036,0.620,-0.533
1735574177080,1.098,0.665,-0.507
1735574177100,1.114,0.728,-0.495
1735574177147,1.100,0.861,-0.057
1735574177180,1.015,1.154,0.755
1735574177200,0.874,1.301,1.134
1735574177221,0.690,1.339,1.154
1735574177241,0.517,1.256,0.889
1735574177261,0.263,0.972,0.855
1735574177286,0.161,0.636,1.158
1735574177327,-0.004,0.145,1.623
1735574177360,-0.161,-0.151,1.100
1735574177380,-0.081,-0.390,0.820
1735574177402,-0.123,-0.668,0.504
1735574177440,-0.408,-1.111,-0.514
1735574177461,-0.490,-1.419,-0.724
1735574177482,-0.381,-1.675,-0.982
1735574177520,-0.283,-1.806,-1.363
1735574177540,-0.163,-1.630,-1.094
1735574177561,0.015,-1.317,-0.769
1735574177601,0.342,-0.627,-0.096
1735574177621,0.441,-0.278,0.027
1735574177641,0.506,0.148,-0.181
1735574177662,0.480,0.535,-0.614
1735574177700,0.410,0.867,-1.146
1735574177721,0.437,0.915,-1.116
1735574177741,0.495,0.855,-0.950
1735574177761,0.446,0.768,-0.650
1735574177782,0.213,0.728,-0.301
1735574177802,-0.120,0.729,0.064
1735574177841,-0.537,0.790,0.808
1735574177862,-0.589,0.816,1.165
1735574177885,-0.614,0.801,1.406
1735574177906,-0.545,0.803,1.486
1735574177942,-0.305,0.934,0.926
1735574177966,-0.167,0.844,0.776
1735574177992,0.247,0.477,0.967
1735574178029,1.020,-0.793,1.634
1735574178066,1.207,-1.140,1.083
1735574178103,0.878,-0.928,-0.133
1735574178123,0.879,-0.927,-1.048
1735574178143,0.997,-0.966,-1.850
1735574178163,1.132,-1.096,-2.069
1735574178183,1.261,-1.204,-1.923
1735574178203,1.390,-1.234,-1.542
1735574178224,1.400,-1.293,-0.882
1735574178244,1.380,-1.274,-0.332
1735574178265,1.277,-1.157,-0.008
1735574178307,1.037,-0.699,0.345
1735574178342,1.058,-0.128,-0.250
1735574178363,0.916,-0.025,-0.397
1735574178386,0.755,0.002,-0.403
1735574178423,0.680,0.008,-0.363
1735574178444,0.635,0.007,-0.297
1735574178466,0.710,0.042,-0.356
1735574178486,0.773,0.133,-0.426
1735574178508,0.813,0.281,-0.372
1735574178541,0.933,0.575,-0.230
1735574178563,1.009,0.572,0.035
1735574178583,1.041,0.596,0.442
1735574178603,1.023,0.656,1.054
1735574178626,1.043,0.739,1.784
1735574178665,1.096,1.000,2.094
1735574178686,1.088,0.885,1.686
1735574178721,0.501,0.235,2.076
1735574178742,0.144,-0.123,2.577
1735574178764,0.030,-0.317,2.446
1735574178784,0.011,-0.358,1.441
1735574178805,-0.022,-0.492,-0.042
1735574178843,-0.037,-0.910,-1.829
1735574178863,-0.121,-1.257,-1.693
1735574178884,-0.166,-1.692,-1.525
1735574178925,-0.247,-2.162,-0.995
1735574178965,0.285,-1.909,-0.358
1735574179005,0.875,-0.901,-0.615
1735574179042,0.947,0.149,-1.048
1735574179081,0.926,0.711,-0.953
1735574179103,0.832,0.866,-0.874
1735574179123,0.778,0.958,-0.706
1735574179143,0.580,0.931,-0.288
1735574179183,0.582,0.909,0.015
1735574179226,0.295,0.816,0.585
1735574179266,0.061,0.571,1.122
1735574179305,0.389,0.173,1.288
1735574179327,0.700,0.168,1.173
1735574179371,0.838,0.213,1.207
1735574179402,0.818,-0.490,1.663
1735574179425,0.849,-0.851,1.432
1735574179446,1.144,-1.086,1.052
1735574179482,1.679,-1.312,0.447
1735574179502,1.482,-1.288,-0.323
1735574179541,1.030,-1.111,-1.561
1735574179563,0.995,-1.036,-1.845
1735574179583,1.026,-1.095,-1.710
1735574179606,1.043,-1.245,-1.230
1735574179643,1.316,-1.292,-0.402
1735574179664,1.410,-0.976,-0.250
1735574179702,1.424,-0.008,-0.370
1735574179722,1.449,0.272,-0.451
1735574179743,1.468,0.354,-0.318
1735574179764,1.376,0.335,-0.117
1735574179803,0.853,0.322,0.190
1735574179823,0.639,0.305,0.217
1735574179846,0.760,0.366,0.063
1735574179884,1.085,0.409,-0.110
1735574179904,1.131,0.440,0.022
1735574179924,1.084,0.486,0.199
1735574179949,1.009,0.500,0.337
1735574179984,1.040,0.614,0.743
1735574180023,1.013,0.764,1.145
1735574180044,1.068,0.922,0.950
1735574180082,1.087,0.730,0.375
1735574180104,1.092,0.318,0.664
1735574180142,0.797,-0.727,1.942
1735574180163,0.825,-1.023,2.225
1735574180203,0.889,-0.956,0.830
1735574180223,0.613,-0.955,-0.306
1735574180243,0.336,-0.773,-1.467
1735574180263,0.075,-0.563,-2.076
1735574180285,-0.222,-0.593,-2.233
1735574180306,-0.370,-0.800,-2.215
1735574180326,-0.423,-1.147,-1.775
1735574180352,-0.299,-1.410,-1.033
1735574180372,-0.174,-1.374,-0.442
1735574180396,-0.196,-1.121,0.077
1735574180423,0.047,-0.413,0.999
1735574180443,0.045,0.037,0.662
1735574180463,-0.204,0.415,0.015
1735574180489,-0.359,0.656,-0.598
1735574180526,-0.315,0.863,-0.768
1735574180563,-0.112,0.868,-0.813
1735574180584,-0.051,0.877,-0.807
1735574180604,-0.083,0.854,-0.461
1735574180626,-0.191,0.812,0.025
1735574180665,-0.228,0.663,0.644
1735574180686,-0.183,0.505,1.071
1735574180723,0.250,0.273,1.164
1735574180744,0.356,0.398,0.951
1735574180784,0.140,0.267,0.989
1735574180804,0.120,-0.092,1.231
1735574180826,0.060,-0.597,1.651
1735574180865,0.552,-1.214,1.308
1735574180893,1.005,-1.371,0.538
1735574180924,1.354,-1.458,-0.691
1735574180944,1.130,-1.212,-1.369
1735574180964,1.010,-0.956,-1.779
1735574180984,1.065,-0.801,-1.857
1735574181004,1.052,-0.811,-1.734
1735574181027,1.075,-0.953,-1.226
1735574181067,1.182,-1.037,0.078
1735574181110,0.769,-0.319,-0.223
1735574181146,0.836,0.317,-0.583
1735574181172,0.762,0.376,-0.418
1735574181205,0.624,0.316,-0.018
1735574181246,0.580,0.255,0.187
1735574181269,0.556,0.359,0.073
1735574181307,0.618,0.769,-0.094
1735574181329,0.799,0.889,-0.109
1735574181370,1.067,0.951,0.097
1735574181403,1.182,0.974,0.355
1735574181424,1.219,0.896,0.755
1735574181444,1.205,0.821,1.130
1735574181464,1.079,0.869,1.216
1735574181504,0.688,0.864,0.684
1735574181524,0.549,0.604,0.577
1735574181544,0.545,0.089,0.879
1735574181564,0.647,-0.401,1.444
1735574181585,0.491,-0.619,1.746
1735574181605,0.319,-0.633,1.534
1735574181625,0.411,-0.621,1.003
1735574181646,0.490,-0.719,0.344
1735574181688,0.143,-0.905,-1.293
1735574181727,-0.268,-0.957,-2.109
1735574181765,-0.244,-1.302,-2.250
1735574181785,0.004,-1.516,-1.585
1735574181805,0.176,-1.575,-0.655
1735574181826,0.265,-1.374,-0.037
1735574181848,0.292,-1.011,0.526
1735574181886,0.327,-0.047,0.846
1735574181906,0.268,0.477,0.286
1735574181930,0.091,0.895,-0.374
1735574181965,-0.183,1.177,-0.546
1735574181986,-0.133,1.205,-0.594
1735574182024,-0.003,1.056,-0.478
1735574182044,-0.051,0.979,-0.231
1735574182073,-0.237,0.933,-0.072
1735574182103,-0.368,0.968,0.238
1735574182123,-0.353,0.947,0.340
1735574182144,-0.235,0.913,0.516
1735574182165,-0.013,0.828,0.769
1735574182204,0.458,0.659,0.817
1735574182224,0.502,0.668,0.782
1735574182251,0.500,0.547,1.063
1735574182285,0.537,-0.373,2.215
1735574182305,0.706,-0.828,2.420
1735574182335,1.089,-0.982,1.874
1735574182355,1.480,-1.001,1.158
1735574182395,1.504,-1.190,-0.452
1735574182415,1.344,-1.190,-1.304
1735574182446,1.094,-1.178,-2.340
1735574182484,0.939,-1.067,-2.080
1735574182505,0.914,-1.172,-1.457
1735574182525,1.063,-1.352,-0.604
1735574182564,0.973,-1.405,0.631
1735574182586,0.920,-1.229,0.810
1735574182625,1.010,-0.410,0.014
1735574182648,0.973,-0.164,-0.198
1735574182687,0.885,-0.119,0.030
1735574182707,0.736,-0.081,0.173
1735574182746,0.593,0.109,-0.216
1735574182785,0.888,0.510,-0.482
1735574182806,0.943,0.724,-0.385
1735574182845,0.945,0.844,0.110
1735574182870,0.969,0.815,0.377
1735574182913,0.943,0.539,0.994
1735574182933,1.017,0.418,1.094
1735574182972,0.915,0.437,0.931
1735574183006,0.923,0.046,0.131
1735574183030,0.967,-0.326,0.484
1735574183067,0.850,-0.645,2.393
1735574183105,1.241,-0.137,0.598
1735574183144,1.722,-0.289,-1.154
1735574183165,1.669,-0.449,-1.340
1735574183186,1.513,-0.596,-1.269
1735574183229,1.058,-1.269,-1.341
1735574183265,0.733,-2.307,-0.621
1735574183286,0.761,-2.689,0.249
1735574183307,0.863,-2.638,0.726
1735574183352,0.664,-1.300,1.108
1735574183374,0.475,-0.529,0.477
1735574183407,0.223,0.452,-0.350
1735574183437,0.276,0.655,-0.192
1735574183486,0.718,0.642,-0.176
1735574183526,0.812,-0.147,0.159
1735574183546,0.727,-0.272,0.019
1735574183566,0.535,-0.367,0.093
1735574183588,0.287,-0.393,0.108
1735574183625,-0.019,-0.206,-0.320
1735574183647,-0.174,-0.151,-0.313
1735574183667,-0.300,-0.166,-0.138
1735574183687,-0.296,-0.289,-0.012
1735574183707,-0.253,-0.530,0.343
1735574183728,-0.118,-0.803,0.760
1735574183749,0.020,-0.840,0.788
1735574183785,-0.150,-0.649,0.686
1735574183807,-0.001,-0.801,0.800
1735574183827,0.275,-1.147,0.951
1735574183867,1.054,-1.696,1.873
1735574183887,1.216,-1.645,1.693
1735574183907,1.123,-1.435,0.855
1735574183947,1.264,-1.096,-1.006
1735574183991,1.458,-1.003,-1.928
1735574184011,1.628,-1.002,-2.076
1735574184032,1.751,-1.075,-1.986
1735574184052,1.846,-1.225,-1.358
1735574184091,1.719,-1.370,0.096
1735574184125,1.373,-1.101,0.441
1735574184146,1.384,-0.866,0.294
1735574184185,1.278,-0.488,0.278
1735574184206,1.059,-0.406,0.330
1735574184226,0.768,-0.330,0.237
1735574184246,0.503,-0.260,0.045
1735574184266,0.349,-0.204,-0.194
1735574184289,0.306,-0.166,-0.404
1735574184309,0.253,-0.155,-0.496
1735574184347,0.127,-0.150,-0.536
1735574184370,0.147,-0.110,-0.635
1735574184390,0.187,-0.077,-0.494
1735574184430,0.431,0.001,0.021
1735574184469,0.322,0.291,0.771
1735574184496,0.332,0.422,1.311
1735574184528,0.364,0.669,1.998
1735574184572,0.258,0.461,1.419
1735574184605,0.675,-0.021,2.162
1735574184628,0.719,-0.160,2.222
1735574184648,0.877,-0.312,1.823
1735574184668,1.002,-0.538,0.974
1735574184688,0.974,-0.759,0.099
1735574184711,0.642,-0.959,-0.529
1735574184731,0.267,-1.112,-1.242
1735574184771,0.022,-1.365,-2.402
1735574184806,0.240,-1.656,-1.752
1735574184828,0.286,-1.743,-1.198
1735574184866,0.415,-1.287,-0.629
1735574184887,0.518,-1.034,0.251
1735574184907,0.536,-0.751,1.042
1735574184929,0.456,-0.286,0.951
1735574184949,0.280,0.331,-0.006
1735574184987,-0.065,1.145,-1.165
1735574185010,-0.034,1.187,-0.881
1735574185048,0.257,0.921,-0.207
1735574185088,0.159,0.520,0.229
1735574185209,-0.047,0.482,0.198
1735574185229,-0.166,0.250,0.279
1735574185266,0.240,0.095,0.693
1735574185288,0.187,0.117,0.975
1735574185327,0.097,-0.312,1.885
1735574185347,0.169,-0.694,2.243
1735574185369,0.499,-0.933,2.019
1735574185408,1.310,-1.154,1.123
1735574185434,1.469,-1.289,0.574
1735574185458,1.335,-1.298,-0.218
1735574185495,0.802,-0.999,-1.717
1735574185526,0.935,-0.958,-2.233
1735574185547,1.081,-1.100,-1.888
1735574185569,1.099,-1.252,-1.447
1735574185614,0.779,-1.498,-0.512
1735574185646,0.513,-1.338,0.328
1735574185667,0.331,-1.008,0.441
1735574185707,0.390,-0.260,-0.264
1735574185727,0.446,-0.048,-0.184
1735574185748,0.452,0.073,0.048
1735574185768,0.431,0.130,0.074
1735574185788,0.396,0.247,-0.032
1735574185821,0.381,0.366,-0.132
1735574185847,0.366,0.669,-0.451
1735574185887,0.252,0.804,-0.092
1735574185907,0.288,0.719,0.224
1735574185936,0.375,0.496,0.654
1735574185968,0.573,0.081,1.219
1735574185988,0.708,-0.246,1.321
1735574186029,1.019,-0.690,2.435
1735574186060,0.875,-0.751,3.084
1735574186085,0.721,-0.593,2.952
1735574186112,0.065,-0.191,0.725
1735574186149,-0.864,-0.517,-0.718
1735574186187,-1.298,-1.270,-2.045
1735574186207,-0.925,-1.594,-2.501
1735574186231,-0.513,-1.908,-2.408
1735574186271,0.022,-2.061,-0.877
1735574186306,-0.112,-1.199,-0.218
1735574186327,-0.060,-0.645,-0.122
1735574186347,0.037,-0.221,-0.163
1735574186372,0.167,0.098,-0.308
1735574186411,0.232,0.523,-0.851
1735574186466,0.266,0.676,-1.211
1735574186491,0.346,0.695,-0.782
1735574186511,0.206,0.781,-0.456
1735574186536,0.007,0.902,-0.190
1735574186567,-0.147,0.948,0.356
1735574186587,-0.262,0.782,0.982
1735574186619,-0.291,0.600,1.646
1735574186647,-0.124,0.369,1.842
1735574186667,0.056,0.549,1.308
1735574186707,-0.086,0.519,1.009
1735574186727,0.219,0.139,1.148
1735574186748,0.464,-0.370,1.397
1735574186769,0.611,-0.707,1.551
1735574186808,0.721,-0.744,1.001
1735574186828,0.649,-0.864,0.495
1735574186868,0.320,-1.198,-0.860
1735574186888,0.442,-1.249,-1.462
1735574186908,0.630,-1.277,-1.791
1735574186928,0.832,-1.237,-1.839
1735574186948,0.916,-1.145,-1.630
1735574186969,0.816,-1.119,-1.419
1735574186989,0.782,-1.107,-1.182
1735574187011,0.880,-1.090,-0.822
1735574187032,0.894,-1.009,-0.174
1735574187053,0.822,-0.807,0.208
1735574187092,0.615,-0.219,-0.290
1735574187112,0.491,0.020,-0.541
1735574187149,0.324,0.243,-0.670
1735574187170,0.270,0.287,-0.611
1735574187207,0.310,0.343,-0.444
1735574187227,0.390,0.410,-0.350
1735574187247,0.453,0.450,-0.091
1735574187270,0.463,0.481,0.295
1735574187292,0.411,0.426,0.725
1735574187327,0.523,0.311,1.294
1735574187350,0.498,0.350,1.569
1735574187388,0.186,0.305,0.852
1735574187409,0.334,-0.059,0.432
1735574187430,0.518,-0.540,0.959
1735574187450,0.301,-0.924,1.867
1735574187490,0.031,-1.006,2.307
1735574187510,0.047,-0.991,1.160
1735574187534,-0.018,-0.969,-0.466
1735574187568,-0.451,-0.984,-1.782
1735574187589,-0.660,-1.051,-1.942
1735574187698,-0.728,-1.166,-2.237
1735574187728,-0.189,-0.372,0.564
1735574187749,-0.171,0.161,-0.014
1735574187769,-0.253,0.543,-0.548
1735574187791,-0.333,0.782,-0.830
1735574187811,-0.319,0.929,-0.806
1735574187849,-0.086,0.877,-0.586
1735574187869,-0.014,0.853,-0.409
1735574187889,-0.022,0.849,-0.191
1735574187909,-0.125,0.911,-0.100
1735574187949,-0.315,0.905,0.342
1735574187971,-0.351,0.823,0.663
1735574188010,-0.256,0.625,1.326
1735574188051,0.189,0.422,1.479
1735574188075,0.206,0.488,1.263
1735574188100,0.043,0.478,1.019
1735574188121,0.044,0.347,1.002
1735574188168,-0.000,-0.584,1.824
1735574188210,0.207,-1.085,1.154
1735574188230,0.212,-1.316,-0.592
1735574188250,0.157,-1.415,-1.343
1735574188288,0.239,-1.554,-2.096
1735574188319,0.241,-1.623,-2.045
1735574188348,0.121,-1.772,-1.268
1735574188368,0.184,-1.684,-0.603
1735574188389,0.215,-1.452,-0.060
1735574188411,0.175,-1.035,0.024
1735574188450,0.068,-0.108,-0.203
1735574188470,0.116,0.128,-0.268
1735574188492,0.121,0.206,-0.237
1735574188514,0.069,0.217,-0.035
1735574188545,-0.012,0.214,0.041
1735574188572,-0.001,0.359,-0.208
1735574188605,0.008,0.465,-0.289
1735574188629,0.239,0.636,-0.169
1735574188649,0.309,0.681,-0.026
1735574188669,0.420,0.703,0.133
1735574188689,0.561,0.682,0.387
1735574188729,0.672,0.654,0.576
1735574188753,0.784,0.560,1.024
1735574188789,0.742,0.612,0.890
1735574188809,0.739,0.410,0.513
1735574188831,0.801,-0.045,0.698
1735574188870,0.285,-0.855,2.221
1735574188909,0.148,-0.760,1.385
1735574188931,0.030,-0.688,-0.264
1735574188970,-0.129,-0.889,-1.815
1735574188990,-0.211,-1.200,-1.650
1735574189011,-0.159,-1.620,-1.553
1735574189031,-0.067,-1.927,-1.279
1735574189051,0.090,-1.979,-0.905
1735574189091,0.538,-1.296,-0.439
1735574189123,0.457,-0.804,-0.399
1735574189156,0.118,0.002,-0.691
1735574189180,-0.003,0.222,-0.600
1735574189200,-0.016,0.342,-0.453
1735574189220,0.014,0.453,-0.426
1735574189246,0.100,0.571,-0.530
1735574189270,0.194,0.591,-0.343
1735574189290,0.137,0.563,-0.021
1735574189333,-0.226,0.641,0.495
1735574189369,-0.569,0.705,0.796
1735574189389,-0.709,0.740,0.792
1735574189410,-0.644,0.705,0.831
1735574189450,-0.216,0.460,0.945
1735574189470,0.117,0.336,0.985
1735574189490,0.498,0.396,0.905
1735574189512,0.495,0.497,0.697
1735574189533,0.681,0.456,0.370
1735574189555,1.236,0.243,0.283
1735574189600,1.378,-0.816,1.810
1735574189634,0.710,-1.083,1.515
1735574189672,0.482,-1.026,-1.154
1735574189712,0.717,-1.280,-2.197
1735574189743,0.754,-1.438,-1.983
1735574189772,0.221,-1.672,-0.634
1735574189810,0.416,-1.557,0.243
1735574189830,0.580,-1.248,0.442
1735574189850,0.677,-0.742,0.031
1735574189871,0.728,-0.190,-0.594
1735574189913,0.619,0.161,-0.795
1735574189950,0.456,0.044,-0.214
1735574189971,0.347,0.105,-0.055
1735574190001,0.279,0.190,-0.192
1735574190031,0.621,0.231,-0.130
1735574190051,0.872,0.243,0.113
1735574190071,1.039,0.297,0.141
1735574190091,1.103,0.389,0.119
1735574190111,1.056,0.439,0.292
1735574190155,1.096,0.522,0.700
1735574190194,1.216,0.499,1.117
1735574190235,1.101,0.606,0.919
1735574190257,1.117,0.407,0.575
1735574190291,1.283,-0.703,1.362
1735574190320,1.252,-1.161,2.755
1735574190350,1.192,-1.011,1.808
1735574190370,1.179,-0.732,-0.290
1735574190390,1.139,-0.675,-1.793
1735574190410,1.270,-0.601,-2.081
1735574190431,1.191,-0.697,-1.509
1735574190451,0.834,-1.201,-0.885
1735574190471,0.738,-1.743,-0.570
1735574190491,0.767,-2.158,0.071
1735574190513,0.875,-2.505,1.138
1735574190551,1.388,-2.089,1.127
1735574190572,1.402,-1.590,0.398
1735574190592,1.234,-1.202,-0.277
1735574190631,0.973,-0.741,-0.737
1735574190653,1.031,-0.616,-0.663
1735574190689,1.353,-0.479,-0.460
1735574190711,1.428,-0.573,-0.032
1735574190750,1.188,-0.856,0.900
1735574190776,0.830,-0.940,1.185
1735574190804,0.553,-1.000,1.277
1735574190831,0.301,-1.061,1.034
1735574190872,0.277,-1.067,0.483
1735574190892,0.186,-1.034,0.377
1735574190912,0.126,-1.092,0.370
1735574190946,0.091,-1.145,0.293
1735574190972,0.186,-1.317,0.305
1735574191012,0.517,-1.064,-0.097
1735574191032,0.656,-0.962,-0.144
1735574191059,0.837,-0.940,-0.140
1735574191096,0.840,-1.286,0.348
1735574191120,1.066,-1.607,0.923
1735574191140,1.265,-1.900,1.818
1735574191162,1.595,-2.075,1.989
1735574191183,1.979,-2.021,1.194
1735574191215,1.961,-2.007,-0.174
1735574191240,2.063,-2.071,-0.379
1735574191261,1.932,-2.084,-0.524
1735574191296,1.709,-2.051,-0.485
1735574191331,1.477,-1.418,0.275
1735574191351,1.514,-1.245,0.337
1735574191371,1.494,-1.067,0.316
1735574191411,1.431,-0.974,0.854
1735574191431,1.261,-1.046,1.065
1735574191451,0.977,-1.128,1.192
1735574191472,0.798,-1.151,1.133
1735574191513,0.787,-1.046,0.494
1735574191551,0.903,-1.002,0.042
1735574191572,0.860,-0.922,-0.037
1735574191592,0.647,-0.770,-0.053
1735574191613,0.426,-0.672,-0.010
1735574191633,0.362,-0.582,-0.026
1735574191676,0.311,-0.380,-0.043
1735574191711,0.288,-0.256,-0.126
1735574191731,0.256,-0.250,-0.215
1735574191751,0.270,-0.235,-0.324
1735574191772,0.230,-0.174,-0.225
1735574191811,-0.008,0.062,0.377
1735574191831,-0.024,0.299,0.425
1735574191851,-0.177,0.402,0.189
1735574191872,-0.347,0.106,0.044
1735574191892,-0.287,-0.284,0.168
1735574191912,-0.331,-0.733,0.746
1735574191932,-0.552,-1.113,1.540
1735574191956,-0.627,-1.300,1.623
1735574191991,-0.230,-1.301,0.176
1735574192012,-0.078,-1.278,-0.378
1735574192032,-0.150,-1.151,-0.161
1735574192052,-0.552,-1.283,0.243
1735574192072,-0.771,-1.238,0.392
1735574192094,-0.789,-1.166,0.409
1735574192133,-0.791,-1.130,0.418
1735574192154,-0.765,-1.014,0.334
1735574192177,-0.618,-0.667,0.176
1735574192200,-0.512,-0.425,-0.172
1735574192222,-0.933,-0.235,-0.124
1735574192257,-0.662,-0.726,-1.285
1735574192280,0.188,0.476,-0.635
1735574192302,-0.357,-0.264,0.097
1735574192323,-0.713,-0.430,0.101
1735574192352,-0.646,-0.476,-0.692
1735574192372,-0.345,-0.450,-0.402
1735574192392,-0.269,-0.493,0.606
1735574192432,-0.754,-0.192,0.584
1735574192452,-0.217,-0.021,0.345
1735574192472,-0.281,-0.169,0.125
1735574192493,-0.389,-0.343,0.005
1735574192513,-0.037,-0.280,0.173
1735574192534,0.128,-0.276,-0.115
1735574192554,-0.014,-0.496,-0.106
1735574192576,-0.141,-0.584,0.011
1735574192613,-0.328,-0.567,-0.180
1735574192640,-0.281,-0.666,-0.325
1735574192662,-0.187,-0.692,-0.316
1735574192701,0.168,-0.234,-0.123
1735574192733,-0.023,-0.353,-0.124
1735574192772,0.311,-0.274,-0.120
1735574192812,0.475,-0.303,0.146
1735574192832,0.497,-0.325,0.243
1735574192852,0.284,-0.310,0.227
1735574192873,0.168,-0.298,0.325
1735574192913,0.181,-0.363,0.150
1735574192952,0.193,-0.210,-0.308
1735574192972,0.103,-0.154,-0.075
1735574193002,0.143,-0.038,0.292
1735574193031,0.347,-0.237,0.031
1735574193052,0.734,-0.273,0.274
